snapshot_date,product_id,stock_qty,reorder_point,days_of_stock
2014-01-01,TEC-AC-10003499,10,1.87,75.0
2014-01-01,TEC-PH-10002844,10,0.93,150.0
2014-01-01,OFF-AR-10000390,15,1.0,150.0
2014-01-01,TEC-AC-10000844,14,1.81,108.4
2014-01-01,FUR-FU-10001934,12,2.1,120.0
2014-01-01,OFF-AR-10000380,15,1.67,90.0
2014-01-01,OFF-BI-10003981,20,2.27,88.2
2014-01-01,OFF-FA-10000621,23,2.6,88.5
2014-01-01,OFF-EN-10002600,17,1.94,87.4
2014-01-01,OFF-PA-10004965,11,0.78,141.4
2014-01-01,OFF-EN-10002504,8,1.33,60.0
2014-01-01,FUR-TA-10001768,10,2.57,81.8
2014-01-01,OFF-BI-10003650,13,1.13,114.7
2014-01-01,FUR-FU-10002157,13,2.33,117.0
2014-01-01,OFF-ST-10000777,10,1.13,88.2
2014-01-01,OFF-EN-10002500,17,1.43,119.0
2014-01-01,TEC-PH-10003875,16,2.02,110.8
2014-01-01,FUR-CH-10004063,8,3.06,54.9
2014-01-01,FUR-TA-10004534,18,2.8,135.0
2014-01-01,OFF-BI-10003274,12,2.0,60.0
2014-01-01,OFF-ST-10002974,14,1.39,100.8
2014-01-01,FUR-FU-10003773,14,2.8,105.0
2014-01-01,TEC-PH-10002293,13,1.71,106.4
2014-01-01,OFF-PA-10002377,13,1.23,105.6
2014-01-01,OFF-FA-10002780,18,3.08,58.4
2014-01-01,OFF-PA-10001804,7,1.12,62.2
2014-01-01,OFF-PA-10001736,13,1.2,108.3
2014-01-01,OFF-AR-10001149,14,1.5,93.3
2014-01-01,OFF-FA-10002988,15,1.57,95.5
2014-01-01,OFF-BI-10004781,15,0.93,160.7
2014-01-01,OFF-SU-10001218,14,1.73,80.8
2014-01-01,OFF-AR-10000940,13,1.17,111.4
2014-01-01,OFF-EN-10004030,14,1.0,140.0
2014-01-01,OFF-PA-10004327,13,1.11,117.0
2014-01-01,OFF-AP-10001058,16,1.42,112.9
2014-01-01,FUR-FU-10000521,10,2.28,92.3
2014-01-01,TEC-PH-10000215,14,2.24,87.5
2014-01-01,TEC-PH-10001448,12,1.21,138.5
2014-01-01,OFF-BI-10002735,17,1.44,117.7
2014-01-01,OFF-AP-10000326,10,1.67,60.0
2014-01-01,TEC-PH-10001254,16,2.64,84.7
2014-01-01,OFF-PA-10001950,20,2.17,92.3
2014-01-01,OFF-PA-10002254,10,1.76,56.8
2014-01-01,OFF-ST-10001590,14,1.67,84.0
2014-01-01,OFF-AR-10001547,13,1.14,113.8
2014-01-01,OFF-LA-10002475,10,0.92,109.1
2014-01-01,TEC-PH-10004536,14,2.1,93.3
2014-01-01,OFF-PA-10002751,15,2.5,60.0
2014-01-01,TEC-AC-10003657,10,1.28,109.1
2014-01-01,OFF-EN-10001990,11,1.28,86.1
2014-01-01,OFF-BI-10004002,13,1.0,130.0
2014-01-01,OFF-AR-10004441,18,1.33,135.0
2014-01-01,TEC-MA-10000822,18,2.8,90.0
2014-01-01,OFF-ST-10000991,11,1.12,97.8
2014-01-01,FUR-CH-10004287,21,3.71,118.9
2014-01-01,OFF-AR-10002656,14,1.6,87.5
2014-01-01,OFF-AP-10002518,14,1.4,100.0
2014-01-01,TEC-PH-10003931,13,1.32,137.6
2014-01-01,OFF-PA-10000659,16,1.86,86.2
2014-01-01,OFF-PA-10001144,10,1.13,88.2
2014-01-01,FUR-CH-10003817,23,4.78,101.0
2014-01-01,OFF-AP-10000891,18,1.58,113.7
2014-01-01,OFF-LA-10003148,13,1.07,121.9
2014-01-01,OFF-AP-10002684,14,1.48,94.8
2014-01-01,FUR-CH-10004698,14,3.0,98.0
2014-01-01,OFF-SU-10002189,16,1.33,120.0
2014-01-01,OFF-AR-10001940,10,1.67,60.0
2014-01-01,OFF-ST-10003455,10,1.14,87.5
2014-01-01,TEC-AC-10004659,21,3.27,90.0
2014-01-01,TEC-PH-10003273,13,1.75,104.0
2014-01-01,TEC-PH-10004896,14,2.33,84.0
2014-01-01,TEC-AC-10002345,13,1.56,117.0
2014-01-01,OFF-BI-10001890,14,1.62,86.5
2014-01-01,TEC-AC-10002323,14,2.05,95.5
2014-01-01,OFF-ST-10001328,10,1.29,77.4
2014-01-01,FUR-BO-10002613,15,3.78,83.3
2014-01-01,TEC-PH-10001552,16,2.57,87.3
2014-01-01,OFF-PA-10000061,27,2.22,121.5
2014-01-01,OFF-AR-10003514,6,1.83,32.7
2014-01-01,OFF-AR-10004685,10,0.95,105.0
2014-01-01,OFF-AR-10004027,18,1.33,135.0
2014-01-01,OFF-ST-10001414,12,1.0,120.0
2014-01-01,OFF-BI-10000343,13,1.24,104.6
2014-01-01,OFF-PA-10002749,14,1.33,105.0
2014-01-01,OFF-PA-10002666,11,1.89,58.2
2014-01-01,FUR-TA-10004289,10,2.8,75.0
2014-01-01,OFF-AP-10003622,23,1.93,119.0
2014-01-01,OFF-AP-10003217,13,1.33,97.5
2014-01-01,FUR-FU-10002960,16,3.85,87.3
2014-01-01,TEC-PH-10001918,12,1.4,120.0
2014-01-01,OFF-ST-10000642,13,1.22,106.4
2014-01-01,TEC-PH-10001700,12,1.17,144.0
2014-01-01,OFF-FA-10000134,10,1.6,62.5
2014-01-01,OFF-ST-10001522,13,1.33,97.5
2014-01-01,TEC-AC-10001266,10,1.52,92.3
2014-01-01,OFF-LA-10004544,15,1.53,97.8
2014-01-01,FUR-BO-10004695,13,3.1,88.1
2014-01-01,TEC-MA-10000864,16,3.73,60.0
2014-01-01,TEC-AC-10000109,10,1.87,75.0
2014-01-01,TEC-PH-10002563,12,1.68,100.0
2014-01-01,OFF-FA-10000585,13,1.25,104.0
2014-01-01,OFF-PA-10004000,12,1.08,110.8
2014-01-01,FUR-FU-10000087,10,2.24,93.8
2014-01-01,TEC-MA-10001148,14,2.05,95.5
2014-01-01,OFF-AR-10001958,16,1.27,126.3
2014-01-01,OFF-AR-10001026,10,1.56,64.3
2014-01-01,FUR-TA-10003748,11,4.0,57.7
2014-01-01,OFF-ST-10002485,10,0.92,109.1
2014-01-01,FUR-CH-10004860,10,2.1,100.0
2014-01-01,FUR-CH-10004477,14,3.42,85.9
2014-01-01,OFF-BI-10001679,16,1.27,126.3
2014-01-01,FUR-TA-10001705,10,3.32,63.2
2014-01-01,FUR-TA-10003473,18,3.15,120.0
2014-01-01,FUR-FU-10004017,13,2.45,111.4
2014-01-01,TEC-AC-10003832,17,2.69,88.4
2014-01-01,OFF-PA-10002479,16,1.43,112.0
2014-01-01,OFF-PA-10003349,10,0.94,105.9
2014-01-01,FUR-FU-10000576,22,4.03,114.8
2014-01-01,FUR-FU-10004351,14,2.8,105.0
2014-01-01,TEC-PH-10000011,19,3.17,83.8
2014-01-01,FUR-TA-10002607,15,4.0,78.8
2014-01-01,FUR-FU-10002505,10,3.15,66.7
2014-01-01,OFF-ST-10002276,11,0.6,183.3
2014-01-01,OFF-PA-10004082,16,1.17,137.1
2014-01-01,OFF-AP-10002945,17,1.9,89.2
2014-01-01,FUR-CH-10002965,14,3.03,96.9
2014-01-01,OFF-PA-10004569,12,0.83,144.0
2014-01-01,OFF-ST-10001228,19,1.5,126.7
2014-01-01,OFF-EN-10003296,13,1.17,111.4
2014-01-01,OFF-ST-10004804,16,1.15,139.4
2014-01-01,TEC-PH-10001580,17,1.59,150.0
2014-01-01,TEC-AC-10000290,14,1.75,112.0
2014-01-01,OFF-ST-10002790,10,1.08,92.3
2014-01-01,OFF-BI-10003460,18,1.33,135.0
2014-01-01,OFF-AP-10002203,13,0.67,195.0
2014-01-01,TEC-MA-10003353,27,3.27,115.7
2014-01-01,TEC-PH-10001433,14,1.28,152.7
2014-01-01,TEC-AC-10004469,17,2.02,117.7
2014-01-01,OFF-AR-10003602,12,0.78,154.3
2014-01-01,OFF-FA-10003472,14,1.4,100.0
2014-01-01,OFF-ST-10004180,12,0.73,163.6
2014-01-01,OFF-EN-10004386,12,0.8,150.0
2014-01-01,OFF-ST-10003208,10,1.67,60.0
2014-01-01,TEC-AC-10003628,9,2.1,60.0
2014-01-01,FUR-FU-10003274,13,2.94,92.9
2014-01-01,OFF-BI-10002557,13,1.25,104.0
2014-01-01,OFF-PA-10002615,16,1.1,146.1
2014-01-01,OFF-AR-10001427,13,1.11,117.0
2014-01-01,OFF-PA-10000673,13,0.67,195.0
2014-01-01,OFF-PA-10004470,10,0.89,112.5
2014-01-01,OFF-ST-10000876,10,1.43,70.0
2014-01-01,OFF-LA-10002043,12,1.07,112.5
2014-01-01,OFF-BI-10004967,17,1.87,91.1
2014-01-01,TEC-PH-10001760,14,1.68,116.7
2014-01-01,FUR-TA-10002903,15,3.36,93.8
2014-01-01,OFF-PA-10000474,10,0.94,106.5
2014-01-01,TEC-AC-10001956,13,1.63,111.4
2014-01-01,OFF-PA-10004100,20,2.33,85.7
2014-01-01,OFF-BI-10000778,13,1.25,104.0
2014-01-01,OFF-SU-10000646,13,0.93,139.3
2014-01-01,OFF-FA-10002983,10,1.67,60.0
2014-01-01,OFF-LA-10004689,23,2.67,86.2
2014-01-01,TEC-AC-10002001,16,1.63,137.1
2014-01-01,FUR-BO-10004709,13,2.49,109.7
2014-01-01,FUR-FU-10004091,17,3.9,91.5
2014-01-01,FUR-CH-10001891,12,1.98,127.1
2014-01-01,FUR-FU-10002918,10,2.52,83.3
2014-01-01,OFF-BI-10004593,17,1.42,120.0
2014-01-01,OFF-FA-10004854,13,1.14,113.8
2014-01-01,OFF-PA-10002105,13,1.0,130.0
2014-01-01,OFF-ST-10002756,21,1.83,114.5
2014-01-01,OFF-PA-10004243,14,1.42,98.8
2014-01-01,FUR-FU-10001861,14,2.8,105.0
2014-01-01,OFF-BI-10002706,10,1.0,100.0
2014-01-01,FUR-TA-10002533,15,3.64,86.5
2014-01-01,FUR-FU-10002671,10,2.28,92.3
2014-01-01,OFF-AR-10003651,14,1.33,105.0
2014-01-01,OFF-BI-10001072,14,1.25,112.0
2014-01-01,OFF-AR-10002135,10,1.67,60.0
2014-01-01,OFF-AR-10002804,10,0.67,150.0
2014-01-01,FUR-FU-10001918,16,2.71,123.9
2014-01-01,FUR-CH-10004086,14,2.68,109.6
2014-01-01,FUR-FU-10001756,10,2.33,90.0
2014-01-01,OFF-LA-10000634,14,1.08,129.2
2014-01-01,FUR-FU-10001588,14,3.15,93.3
2014-01-01,TEC-PH-10002398,18,2.8,90.0
2014-01-01,OFF-PA-10001937,12,1.14,105.0
2014-01-01,OFF-AR-10003373,14,1.52,91.9
2014-01-01,FUR-CH-10002602,10,3.4,61.8
2014-01-01,TEC-MA-10002927,10,0.93,150.0
2014-01-01,TEC-AC-10000892,14,2.05,95.5
2014-01-01,OFF-FA-10000624,20,1.81,110.5
2014-01-01,TEC-AC-10001908,16,2.49,90.0
2014-01-01,FUR-FU-10001967,10,1.4,150.0
2014-01-01,TEC-PH-10003645,13,1.73,105.0
2014-01-01,OFF-ST-10000675,11,1.89,58.2
2014-01-01,FUR-CH-10003312,19,3.36,118.8
2014-01-01,OFF-LA-10001074,22,2.17,101.5
2014-01-01,OFF-BI-10001524,19,2.03,93.6
2014-01-01,TEC-PH-10004614,10,1.87,75.0
2014-01-01,OFF-BI-10001153,11,0.67,165.0
2014-01-01,OFF-BI-10001982,16,1.22,130.9
2014-01-01,OFF-BI-10001922,18,2.2,81.8
2014-01-01,TEC-CO-10001449,16,2.53,88.4
2014-01-01,OFF-BI-10004140,10,1.26,79.4
2014-01-01,OFF-BI-10003314,12,0.96,125.2
2014-01-01,FUR-TA-10004575,15,3.03,103.8
2014-01-01,OFF-FA-10000490,12,0.87,138.5
2014-01-01,OFF-AR-10000122,16,1.22,130.9
2014-01-01,TEC-PH-10000702,28,4.2,93.3
2014-01-01,OFF-AR-10001374,13,1.07,121.9
2014-01-01,OFF-PA-10001970,14,1.56,90.0
2014-01-01,OFF-BI-10002160,12,0.81,148.2
2014-01-01,OFF-BI-10004995,14,1.5,93.3
2014-01-01,FUR-BO-10002268,10,3.73,56.3
2014-01-01,OFF-EN-10001137,13,0.92,141.8
2014-01-01,OFF-AR-10002399,7,1.5,46.7
2014-01-01,OFF-PA-10002713,10,1.48,67.7
2014-01-01,OFF-AP-10001124,25,2.67,93.8
2014-01-01,OFF-LA-10001158,18,1.44,124.6
2014-01-01,FUR-CH-10000785,16,2.49,135.0
2014-01-01,OFF-AR-10003732,10,1.43,70.0
2014-01-01,FUR-FU-10000023,19,3.4,117.4
2014-01-01,OFF-BI-10002412,13,1.42,91.8
2014-01-01,OFF-SU-10001225,17,1.17,145.7
2014-01-01,OFF-ST-10002406,13,1.33,97.5
2014-01-01,OFF-PA-10002036,17,1.5,113.3
2014-01-01,OFF-ST-10002205,14,1.44,96.9
2014-01-01,TEC-AC-10003911,18,2.1,120.0
2014-01-01,OFF-AR-10000658,18,1.4,128.6
2014-01-01,TEC-AC-10002076,29,4.51,90.0
2014-01-01,OFF-PA-10003039,15,1.78,84.4
2014-01-01,FUR-TA-10004915,10,3.22,65.2
2014-01-01,OFF-AP-10000696,18,1.25,144.0
2014-01-01,OFF-ST-10003327,10,1.08,92.3
2014-01-01,OFF-BI-10000309,10,1.3,77.1
2014-01-01,OFF-PA-10004734,20,1.67,120.0
2014-01-01,OFF-BI-10002225,12,0.94,127.1
2014-01-01,TEC-AC-10004708,10,1.4,100.0
2014-01-01,FUR-TA-10000617,17,2.57,139.1
2014-01-01,TEC-AC-10002335,17,1.87,127.5
2014-01-01,TEC-MA-10001681,13,1.87,97.5
2014-01-01,FUR-FU-10001935,17,3.85,92.7
2014-01-01,OFF-AR-10004757,20,1.67,120.0
2014-01-01,OFF-BI-10000050,19,1.56,122.1
2014-01-01,TEC-PH-10003012,10,1.49,93.8
2014-01-01,TEC-CO-10002313,15,1.28,163.6
2014-01-01,OFF-BI-10003982,18,1.78,101.3
2014-01-01,OFF-BI-10004492,17,1.44,117.7
2014-01-01,OFF-ST-10000798,14,1.33,105.0
2014-01-01,OFF-PA-10002552,12,0.83,144.0
2014-01-01,OFF-SU-10002573,18,1.24,145.4
2014-01-01,OFF-ST-10001580,13,0.87,150.0
2014-01-01,OFF-ST-10000934,16,1.17,137.1
2014-01-01,TEC-AC-10000158,12,1.46,115.2
2014-01-01,OFF-PA-10001947,12,0.83,144.0
2014-01-01,OFF-AR-10003478,14,1.93,72.4
2014-01-01,OFF-AP-10004249,13,1.47,88.6
2014-01-01,TEC-CO-10004115,14,1.98,98.8
2014-01-01,OFF-PA-10003724,16,1.94,82.3
2014-01-01,FUR-TA-10002041,12,2.33,108.0
2014-01-01,OFF-PA-10002893,10,0.87,115.4
2014-01-01,OFF-LA-10003766,29,3.33,87.0
2014-01-01,FUR-BO-10001972,15,4.62,68.2
2014-01-01,FUR-CH-10003956,14,2.8,105.0
2014-01-01,OFF-PA-10000157,20,1.83,109.1
2014-01-01,OFF-AR-10004344,14,1.72,81.3
2014-01-01,FUR-CH-10004886,13,2.8,97.5
2014-01-01,OFF-PA-10003845,10,1.56,64.3
2014-01-01,OFF-AR-10001573,13,1.17,111.4
2014-01-01,OFF-EN-10000483,15,1.83,81.8
2014-01-01,TEC-AC-10004114,15,2.33,90.0
2014-01-01,FUR-FU-10004712,10,2.1,100.0
2014-01-01,OFF-ST-10000918,15,0.94,158.8
2014-01-01,FUR-CH-10000015,16,4.2,80.0
2014-01-01,FUR-FU-10003347,14,2.94,100.0
2014-01-01,OFF-BI-10001543,13,1.43,91.0
2014-01-01,TEC-MA-10000029,16,1.87,120.0
2014-01-01,OFF-AR-10000369,14,1.22,114.5
2014-01-01,OFF-BI-10004584,13,1.47,88.6
2014-01-01,OFF-ST-10000617,10,1.33,75.0
2014-01-01,OFF-ST-10003306,15,1.57,95.5
2014-01-01,OFF-BI-10000773,10,0.86,116.7
2014-01-01,TEC-AC-10002600,14,2.1,93.3
2014-01-01,TEC-MA-10002937,10,1.4,100.0
2014-01-01,OFF-PA-10002230,12,0.89,135.0
2014-01-01,FUR-CH-10003396,13,2.28,120.0
2014-01-01,FUR-FU-10000246,12,4.43,56.8
2014-01-01,OFF-ST-10000060,15,1.79,83.7
2014-01-01,OFF-ST-10003058,22,2.0,110.0
2014-01-01,OFF-PA-10002222,10,1.8,55.6
2014-01-01,FUR-CH-10002372,12,1.98,127.1
2014-01-01,OFF-LA-10001317,12,1.0,120.0
2014-01-01,FUR-FU-10000206,12,2.33,108.0
2014-01-01,OFF-AR-10000588,12,0.96,124.6
2014-01-01,OFF-ST-10001469,13,1.33,97.5
2014-01-01,OFF-AR-10001953,16,1.29,124.4
2014-01-01,OFF-AR-10003156,15,0.93,160.7
2014-01-01,OFF-AR-10004974,14,1.0,140.0
2014-01-01,TEC-PH-10002365,12,1.24,135.0
2014-01-01,OFF-ST-10000142,10,0.93,107.1
2014-01-01,TEC-AC-10001772,32,5.25,85.3
2014-01-01,FUR-CH-10000225,13,2.5,109.2
2014-01-01,FUR-CH-10002331,7,3.36,43.8
2014-01-01,OFF-EN-10001415,11,0.67,165.0
2014-01-01,OFF-AP-10002472,10,1.67,60.0
2014-01-01,TEC-AC-10004571,13,1.47,124.1
2014-01-01,OFF-BI-10001098,10,1.29,77.4
2014-01-01,FUR-TA-10001889,10,3.73,56.3
2014-01-01,OFF-BI-10000315,18,1.67,108.0
2014-01-01,OFF-SU-10003505,10,1.0,100.0
2014-01-01,OFF-AP-10002578,12,1.0,120.0
2014-01-01,FUR-BO-10002824,12,1.4,180.0
2014-01-01,OFF-BI-10002194,14,1.33,105.0
2014-01-01,OFF-PA-10004071,12,0.75,160.0
2014-01-01,OFF-ST-10002743,11,1.53,71.7
2014-01-01,FUR-BO-10001601,13,2.33,117.0
2014-01-01,TEC-PH-10002680,10,2.02,69.2
2014-01-01,OFF-ST-10001321,13,1.43,91.0
2014-01-01,OFF-PA-10001509,18,2.0,90.0
2014-01-01,OFF-PA-10003465,12,0.92,130.9
2014-01-01,TEC-PH-10000149,19,3.03,87.7
2014-01-01,OFF-AR-10003045,15,1.52,98.4
2014-01-01,OFF-ST-10000689,22,1.83,120.0
2014-01-01,TEC-AC-10001445,19,2.18,122.1
2014-01-01,TEC-AC-10002567,13,1.5,121.0
2014-01-01,OFF-LA-10003923,14,1.54,90.8
2014-01-01,FUR-BO-10001337,10,1.96,107.1
2014-01-01,TEC-PH-10001924,12,1.21,138.5
2014-01-01,TEC-PH-10001363,13,1.28,141.8
2014-01-01,TEC-PH-10000376,13,1.71,106.4
2014-01-01,TEC-AC-10000303,12,1.17,144.0
2014-01-01,OFF-ST-10001809,20,1.78,112.5
2014-01-01,OFF-EN-10003845,10,1.07,93.8
2014-01-01,TEC-AC-10000991,15,2.02,103.8
2014-01-01,FUR-TA-10001857,14,1.92,152.7
2014-01-01,OFF-EN-10001434,10,1.0,100.0
2014-01-01,OFF-BI-10002498,14,1.56,90.0
2014-01-01,FUR-FU-10004864,11,3.24,71.4
2014-01-01,FUR-FU-10000073,35,5.95,123.5
2014-01-01,OFF-BI-10001670,10,1.67,60.0
2014-01-01,OFF-BI-10001658,16,1.03,155.3
2014-01-01,FUR-CH-10001215,17,2.7,132.2
2014-01-01,OFF-BI-10000831,13,1.0,130.0
2014-01-01,OFF-PA-10000357,10,1.33,75.0
2014-01-01,OFF-AR-10001662,8,1.43,56.0
2014-01-01,OFF-AR-10003856,13,1.0,130.0
2014-01-01,OFF-BI-10003527,13,1.04,125.4
2014-01-01,FUR-FU-10001290,10,3.68,57.1
2014-01-01,TEC-AC-10002399,17,1.87,127.5
2014-01-01,OFF-AR-10003811,14,2.0,70.0
2014-01-01,OFF-AR-10001246,15,1.52,98.4
2014-01-01,TEC-CO-10003236,10,1.63,85.7
2014-01-01,OFF-ST-10004507,12,0.9,133.3
2014-01-01,OFF-PA-10001667,13,1.52,85.3
2014-01-01,OFF-ST-10004459,13,1.33,97.5
2014-01-01,OFF-ST-10000736,13,1.3,100.0
2014-01-01,OFF-BI-10000285,10,1.47,68.2
2014-01-01,TEC-PH-10003555,10,2.39,58.5
2014-01-01,OFF-FA-10002815,18,1.44,124.6
2014-01-01,FUR-CH-10003379,13,2.45,111.4
2014-01-01,OFF-ST-10004963,14,1.33,105.0
2014-01-01,OFF-SU-10002881,10,1.0,100.0
2014-01-01,OFF-EN-10001335,15,1.89,79.4
2014-01-01,FUR-CH-10000595,18,3.15,120.0
2014-01-01,FUR-FU-10000448,12,1.87,135.0
2014-01-01,TEC-PH-10000984,10,1.94,72.0
2014-01-01,OFF-ST-10001325,13,1.52,85.3
2014-01-01,OFF-BI-10002429,13,1.52,85.3
2014-01-01,OFF-BI-10004528,18,1.56,115.7
2014-01-01,OFF-AP-10001271,13,1.13,114.7
2014-01-01,FUR-CH-10002647,18,3.2,118.1
2014-01-01,TEC-AC-10001432,10,2.45,57.1
2014-01-01,TEC-PH-10002262,24,2.8,120.0
2014-01-01,TEC-AC-10001465,15,2.13,98.4
2014-01-01,TEC-PH-10002597,14,1.17,168.0
2014-01-01,FUR-FU-10000723,13,2.71,100.6
2014-01-01,OFF-BI-10000404,10,1.0,100.0
2014-01-01,OFF-PA-10002986,14,1.53,91.3
2014-01-01,OFF-SU-10001935,14,1.0,140.0
2014-01-01,FUR-CH-10002024,15,3.41,92.3
2014-01-01,FUR-FU-10003039,12,1.82,138.5
2014-01-01,OFF-FA-10004248,14,1.33,105.0
2014-01-01,OFF-ST-10001780,13,0.87,150.0
2014-01-01,OFF-AR-10003560,13,1.11,117.0
2014-01-01,OFF-LA-10001297,17,1.33,127.5
2014-01-01,FUR-TA-10004256,10,2.98,70.6
2014-01-01,OFF-PA-10003441,15,1.77,84.9
2014-01-01,OFF-BI-10000069,17,2.06,82.7
2014-01-01,OFF-AP-10003914,10,1.67,60.0
2014-01-01,FUR-FU-10004020,14,2.8,105.0
2014-01-01,OFF-FA-10003467,11,1.25,88.0
2014-01-01,TEC-PH-10002496,13,2.0,91.0
2014-01-01,OFF-PA-10004530,27,3.11,86.8
